fecha,tipo_cambio,superior,regular,diesel,bunker,cilindro
2021-01-01,7.79382,21.91,21.11,17.61,13.40,3.96
2021-01-02,7.79382,21.91,21.11,17.61,13.40,3.96
2021-01-03,7.79382,21.91,21.11,17.61,13.40,3.96
2021-01-04,7.79417,21.91,21.11,17.61,13.45,3.96
2021-01-05,7.79369,21.91,21.11,17.61,13.45,3.96
2021-01-06,7.79735,21.91,21.11,17.61,13.45,3.96
2021-01-07,7.79493,21.91,21.11,17.61,13.45,3.96
2021-01-08,7.80089,21.91,21.11,17.61,13.45,3.96
2021-01-09,7.80089,21.91,21.11,17.61,13.45,3.96
2021-01-10,7.80089,21.91,21.11,17.61,13.45,3.96
2021-01-11,7.79581,22.39,21.59,17.69,13.82,3.96
2021-01-12,7.79620,22.39,21.59,17.69,13.82,3.96
2021-01-13,7.79686,22.39,21.59,17.69,13.82,4.07
2021-01-14,7.79124,22.39,21.59,17.69,13.82,4.07
2021-01-15,7.78903,22.39,21.59,17.69,13.82,4.07
2021-01-16,7.78903,22.39,21.59,17.69,13.82,4.28
2021-01-17,7.78903,22.39,21.59,17.69,13.82,4.28
2021-01-18,7.78560,23.21,22.41,18.30,14.05,4.28
2021-01-19,7.79345,23.21,22.41,18.30,14.05,4.28
2021-01-20,7.78725,23.21,22.41,18.30,14.05,4.40
2021-01-21,7.78209,23.21,22.41,18.30,14.05,4.40
2021-01-22,7.78162,23.21,22.41,18.30,14.05,4.40
2021-01-23,7.78162,23.21,22.41,18.30,14.05,4.64
2021-01-24,7.78162,23.21,22.41,18.30,14.05,4.64
2021-01-25,7.78124,23.44,22.64,18.47,14.05,4.64
2021-01-26,7.77958,23.44,22.64,18.47,14.05,4.64
2021-01-27,7.78483,23.44,22.64,18.47,14.05,4.64
2021-01-28,7.78262,23.44,22.64,18.47,14.05,4.64
2021-01-29,7.78638,23.44,22.64,18.47,14.05,4.64
2021-01-30,7.78638,23.44,22.64,18.47,14.05,4.64
2021-01-31,7.78638,23.44,22.64,18.47,14.05,4.64
2021-02-01,7.78003,23.57,22.77,18.57,13.95,4.64
2021-02-02,7.77836,23.57,22.77,18.57,13.95,4.64
2021-02-03,7.77857,23.57,22.77,18.57,13.95,4.64
2021-02-04,7.77652,23.57,22.77,18.57,13.95,4.64
2021-02-05,7.76627,23.57,22.77,18.57,13.95,4.64
2021-02-06,7.76627,23.57,22.77,18.57,13.95,4.64
2021-02-07,7.76627,23.57,22.77,18.57,13.95,4.64
2021-02-08,7.76611,23.98,23.18,18.98,14.25,4.64
2021-02-09,7.76291,23.98,23.18,18.98,14.25,4.64
2021-02-10,7.75873,23.98,23.18,18.98,14.25,4.64
2021-02-11,7.75519,23.98,23.18,18.98,14.25,4.64
2021-02-12,7.75002,23.98,23.18,18.98,14.25,4.64
2021-02-13,7.75002,23.98,23.18,18.98,14.25,4.64
2021-02-14,7.75002,23.98,23.18,18.98,14.25,4.64
2021-02-15,7.74667,24.39,23.59,19.79,14.40,4.64
2021-02-16,7.74640,24.39,23.59,19.79,14.40,4.64
2021-02-17,7.74185,24.39,23.59,19.79,14.40,4.64
2021-02-18,7.73698,24.39,23.59,19.79,14.99,4.64
2021-02-19,7.73197,24.39,23.59,19.79,14.99,4.64
2021-02-20,7.73197,24.39,23.59,19.79,14.99,4.64
2021-02-21,7.73197,24.39,23.59,19.79,14.99,4.64
2021-02-22,7.71868,25.10,24.30,20.50,14.99,4.64
2021-02-23,7.72021,25.10,24.30,20.50,14.99,4.64
2021-02-24,7.71568,25.10,24.30,20.50,14.99,4.64
2021-02-25,7.71480,25.10,24.30,20.50,14.99,4.64
2021-02-26,7.70922,25.10,24.30,20.50,14.99,4.64
2021-02-27,7.70922,25.10,24.30,20.50,14.99,4.64
2021-02-28,7.70922,25.10,24.30,20.50,14.99,4.64
2021-03-01,7.70606,25.85,25.05,20.86,15.54,4.64
2021-03-02,7.70271,25.85,25.05,20.86,15.54,4.64
2021-03-03,7.70784,25.85,25.05,20.86,15.54,4.64
2021-03-04,7.71007,25.85,25.05,20.86,15.54,4.64
2021-03-05,7.71553,25.85,25.05,20.86,15.54,4.64
2021-03-06,7.71553,25.85,25.05,20.86,15.54,4.64
2021-03-07,7.71553,25.85,25.05,20.86,15.54,4.64
2021-03-08,7.71276,26.60,25.81,21.31,15.79,4.64
2021-03-09,7.71698,26.60,25.81,21.31,15.79,4.64
2021-03-10,7.73021,26.60,25.81,21.31,15.79,4.64
2021-03-11,7.72378,26.60,25.81,21.31,15.79,4.72
2021-03-12,7.73057,26.60,25.81,21.31,15.79,4.80
2021-03-13,7.73057,26.60,25.81,21.31,15.79,4.80
2021-03-14,7.73057,26.60,25.81,21.31,15.79,4.80
2021-03-15,7.72429,27.27,26.47,21.68,15.79,4.80
2021-03-16,7.72084,27.27,26.47,21.68,15.79,4.80
2021-03-17,7.72462,27.27,26.47,21.68,15.79,4.80
2021-03-18,7.72059,27.27,26.47,21.68,15.79,4.80
2021-03-19,7.72156,27.27,26.47,21.68,15.79,4.80
2021-03-20,7.72156,27.27,26.47,21.68,15.79,4.80
2021-03-21,7.72156,27.27,26.47,21.68,15.79,4.80
2021-03-22,7.72274,27.02,26.22,21.41,15.79,4.80
2021-03-23,7.72002,27.02,26.22,21.41,15.79,4.80
2021-03-24,7.72758,27.02,26.22,21.41,15.79,4.80
2021-03-25,7.72719,27.02,26.22,21.41,15.79,4.80
2021-03-26,7.72379,27.02,26.22,21.41,15.79,4.80
2021-03-27,7.72379,27.02,26.22,21.41,15.79,4.80
2021-03-28,7.72379,27.02,26.22,21.41,15.79,4.80
2021-03-29,7.72267,26.35,25.56,20.80,15.59,4.80
2021-03-30,7.71990,26.35,25.56,20.80,15.59,4.80
2021-03-31,7.71498,26.35,25.56,20.80,15.59,4.80
2021-04-01,7.71498,26.35,25.56,20.80,15.59,4.80
2021-04-02,7.71498,26.35,25.56,20.80,15.59,4.80
2021-04-03,7.71498,26.35,25.56,20.80,15.59,4.80
2021-04-04,7.71498,26.35,25.56,20.80,15.59,4.80
2021-04-05,7.71790,26.45,25.66,20.71,15.59,4.80
2021-04-06,7.72277,26.45,25.66,20.71,15.59,4.80
2021-04-07,7.71815,26.45,25.66,20.71,15.59,4.80
2021-04-08,7.71725,26.45,25.66,20.71,15.59,4.80
2021-04-09,7.72209,26.45,25.66,20.71,15.59,4.80
2021-04-10,7.72209,26.45,25.66,20.71,15.59,4.80
2021-04-11,7.72209,26.45,25.66,20.71,15.59,4.80
2021-04-12,7.71748,26.97,26.17,20.43,15.44,4.80
2021-04-13,7.71454,26.97,26.17,20.43,15.44,4.80
2021-04-14,7.71791,26.97,26.17,20.43,15.44,4.80
2021-04-15,7.71877,26.97,26.17,20.43,15.44,4.80
2021-04-16,7.71832,26.97,26.17,20.43,15.44,4.80
2021-04-17,7.71832,26.97,26.17,20.43,15.44,4.80
2021-04-18,7.71832,26.97,26.17,20.43,15.44,4.80
2021-04-19,7.71216,27.00,26.20,20.59,16.14,4.80
2021-04-20,7.71103,27.00,26.20,20.59,16.14,4.80
2021-04-21,7.71206,27.00,26.20,20.59,16.14,4.80
2021-04-22,7.71432,27.00,26.20,20.59,16.14,4.80
2021-04-23,7.71463,27.00,26.20,20.59,16.14,4.80
2021-04-24,7.71463,27.00,26.20,20.59,16.14,4.80
2021-04-25,7.71463,27.00,26.20,20.59,16.14,4.80
2021-04-26,7.71238,27.27,26.49,20.87,16.44,4.80
2021-04-27,7.71167,27.27,26.49,20.87,16.44,4.80
2021-04-28,7.71934,27.27,26.49,20.87,16.44,4.80
2021-04-29,7.71649,27.27,26.49,20.87,16.44,4.80
2021-04-30,7.71812,27.27,26.49,20.87,16.44,4.80
2021-05-01,7.71812,27.27,26.49,20.87,16.44,4.80
2021-05-02,7.71812,27.27,26.49,20.87,16.44,4.80
2021-05-03,7.71812,27.29,26.49,21.12,16.44,4.80
2021-05-04,7.71336,27.29,26.49,21.12,16.44,4.80
2021-05-05,7.71288,27.29,26.49,21.12,16.44,4.80
2021-05-06,7.71170,27.29,26.49,21.12,16.44,4.80
2021-05-07,7.71133,27.29,26.49,21.12,16.44,4.80
2021-05-08,7.71133,27.29,26.49,21.12,16.44,4.80
2021-05-09,7.71133,27.29,26.49,21.12,16.44,4.80
2021-05-10,7.71048,27.89,27.09,21.79,16.84,4.80
2021-05-11,7.70861,27.89,27.09,21.79,16.84,4.80
2021-05-12,7.71034,27.89,27.09,21.79,16.84,4.80
2021-05-13,7.70898,27.89,27.09,21.79,16.84,4.80
2021-05-14,7.71020,27.89,27.09,21.79,16.84,4.80
2021-05-15,7.71020,27.89,27.09,21.79,16.84,4.80
2021-05-16,7.71020,27.89,27.09,21.79,16.84,4.80
2021-05-17,7.70923,27.90,27.09,21.79,16.99,4.80
2021-05-18,7.70920,27.90,27.09,21.79,16.99,4.80
2021-05-19,7.71246,27.90,27.09,21.79,16.99,4.80
2021-05-20,7.71203,27.90,27.09,21.79,16.99,4.80
2021-05-21,7.71822,27.90,27.09,21.79,16.99,4.80
2021-05-22,7.71822,27.90,27.09,21.79,16.99,4.80
2021-05-23,7.71822,27.90,27.09,21.79,16.99,4.80
2021-05-24,7.71544,27.88,27.08,21.78,16.62,4.80
2021-05-25,7.71791,27.88,27.08,21.78,16.62,4.80
2021-05-26,7.71942,27.88,27.08,21.78,16.62,4.80
2021-05-27,7.72190,27.88,27.08,21.78,16.62,4.80
2021-05-28,7.72459,27.88,27.08,21.78,16.62,4.80
